,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,createdjustfor7,,,198,137,6956,56,"@Simi_Garewal Have you seen Sameer Sir’s interview? If not do watch it so see the number of arrests done so far since a year &amp; more ! 

Before blabbering check the facts Miss ! 

NCB Proved Satyamev Jayate 🙌🏻✊

#BoycottBollywood &amp; druggies of Bollywood",[]
1,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,58,"Stop Lies About SSR Height
CBI Speak Out 4 Disha SSR
#BoycottBollywood

After hearing the news :
MORE BOLLYWOOD ACTORS UNDER SCANNER 

Bollywood be like:🤭 https://t.co/FvQ2H12yHV",['BoycottBollywood']
2,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,117,"Shanaya Kapoor..... Janhvi's cousin-Shridevi's daughter???
Nice connections 👌👏👍

Stop Lies About SSR Height
CBI Speak Out 4 Disha SSR
#BoycottBollywood https://t.co/Lh6FryORJt https://t.co/0bCExSlaru",[]
3,createdjustfor7,,,198,137,6956,15,"@itsshilpasamai @Simi_Garewal @iamsrk I second u Shilpa Ji. 
Garewal is one of the first ""U"" Turners in SSR Case.Initially she was vocal against nepotism.Then suddenly she went all out in praise of g'wood &amp; is still continuing. 
Shame on u @Simi_Garewal stop wearing white, 
as it symbolises purity!
#BoycottBollywood",[]
4,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,129,"Kal hi khe diya tha 😌😌

Stop Lies About SSR Height
CBI Speak Out 4 Disha SSR
#BoycottBollywood https://t.co/IKz2iev8OK",['BoycottBollywood']
5,createdjustfor7,,,198,137,6956,30,@Simi_Garewal Do another talk show and ask @iamsrk if he fulfilled all that he told you when #AryanKhan was 3 year old! Shame on you to shamelessly air those on your show! #BoycottBollywood,['AryanKhan']
6,createdjustfor7,,,198,137,6956,51,"@Simi_Garewal #BoycottBollywood 🔥  
Gutterwood Will Be Finished Dont Worry! 

#NationWithNCB 🇮🇳  

NCB Proved Satyamev Jayate ⚖","['BoycottBollywood', 'NationWithNCB']"
7,ShinyDam,"🦋Dad's Princess🦋Corporate Employee🦋




➡️If you can explain colour to a Blind person, you can explain anything to anyone ... !!","Chennai, India",1334,3289,396790,10,"All the nuisance of the society is taught by bollywood. It's time to #BoycottBollywood permanently

NCB Proved Satyamev Jayate",['BoycottBollywood']
8,pari_575,,,760,696,22439,159,"BREAKING: NDPS Court has extended judicial custody of #AryanKhan till 30th Oct.

So, if Bombay HC rejects Aryan Khan's bail on 26th Oct. then, SRK's son will remain in jail till 7th Nov.

As there are holidays in courts from 1st Nov. to 7th Nov. :)

Sorry Babu!

#BoycottBollywood",['AryanKhan']
9,pari_575,,,760,696,22439,404,"Exactly a year ago, Nawab Malik threatened Arnab, made personal attacks and he got successful in suppressing Arnab's voice in Sushant case.

Today again this man is repeating the same thing with Sameer Wankhede sir. But this time we will not let him succeed.

#BoycottBollywood",[]
10,SatyaSSRian1,Main Account  @Satya91539128,,211,204,50010,56,"Breaking ‼ Ananya Panday has been summoned again for questioning tomorrow at 11 AM ‼

#BoycottBollywoodDruggies
#BoycottBollywoodForever 
#boycottbollywood 
            
500 Days Disha Brutal Murder https://t.co/VjsjyX1Y1Z",['BoycottBollywoodDruggies']
11,ToshiSharma10,"Artist ( Visual Art ) 🎨 
Proud to be an Indian 🇮🇳. वंदे  मातरम् ।","Noida, India",510,847,22041,56,"@Simi_Garewal Have you seen Sameer Sir’s interview? If not do watch it so see the number of arrests done so far since a year &amp; more ! 

Before blabbering check the facts Miss ! 

NCB Proved Satyamev Jayate 🙌🏻✊

#BoycottBollywood &amp; druggies of Bollywood",[]
12,ShinyDam,"🦋Dad's Princess🦋Corporate Employee🦋




➡️If you can explain colour to a Blind person, you can explain anything to anyone ... !!","Chennai, India",1334,3289,396790,51,"@Simi_Garewal #BoycottBollywood 🔥  
Gutterwood Will Be Finished Dont Worry! 

#NationWithNCB 🇮🇳  

NCB Proved Satyamev Jayate ⚖","['BoycottBollywood', 'NationWithNCB']"
13,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,35,"Star Kid IQ Level 🤦‍♀️

Palak = Pudina = curry patta 🤣🤣

Sirf Drugs, Maal,charas, Ganja Yehi pata hai #BollywoodDruggies ko..

This is called struggling life of #AnanyaPandey 

#ShahRukhKhan 
#Mannat 
#BoycottBollywood 

@smitaparikh2 https://t.co/ygCHEL9BL0",['BollywoodDruggies']
14,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,81,"Bollywood &amp; few politicians have all come together against Sameer Wankhede, a honest officer who's working towards DRUG FREE INDIA.

So called stars &amp; politicians are rather darkness &amp; the biggest hypocrites of the highest order.

NCB Proved Satyamev Jayate
#BoycottBollywood",[]
15,swatimehak,महादेव 🙏😍🚩,,1017,12806,194104,57,"पैसों का अहंकार … 
क्या हुआ अब कुछ काम नही आ रहा ..

ज्यादा पैसे का रोब दिखा रहे थे .. लगा लो आज वह पैसा, निकाल लो उस पैसे से अपने बेटे को जेल से निकाल सकते हो तो।

इसलिए कहते हैं पैसे का कभी घमंड नहीं करना चाहिए, हर जगह पैसा काम नहीं आता!

#BoycottBollywood https://t.co/JgVdx374ff",[]
16,Jasvind26885587,"Fan of SSR.
Justice for SSR
I am not  BOT","Melbourne, Victoria",704,393,10148,32,"History isn't always meant for t past

History is that which is very much the reality...
#BoycottBollywood 
#AryanKhanBail 

#JusticeForSushantSinghRajput 
#LoveSushant

With NCB For A Better India https://t.co/UqWOOnSGyk",['BoycottBollywood']
17,createdjustfor7,,,198,137,6956,10,"@ANI Comedy nights with Malik Chcha 🤣
#BoycottBollywood is hurting chcha 
Stop Lies About SSR Height
CBI Speak Out 4 Disha SSR",['BoycottBollywood']
18,kumud768,"Mom of 2 kids.M phil in Botany,worked as a scientist @unihamburg.hereonly for beloved SSR.I wanna know the truth#justiceforsushantsinghrajput","बैंगलुरु, भारत",1216,974,18402,413,"The amount of footage that #AnanyaPanday didn't get in her entire Bollywood career, she got it in just 1 day today.

Ananya Pandey should be thankful to Sameer Wankhede sir and NCB team :)

#BoycottBollywood",['AnanyaPanday']
19,AAOLion,"Hind z HELPISTAN 4 Human,India z injuries 4 Demon,सैन्यशक्ति,युवाशक्ति-नारीशक्ति्के साथ,शब्दभेदी/WORDWARसे
राष्ट्रसुधारका छोटासा प्रयास,Daring Lions are Welcome",Universe,5445,46812,1141200,57,"पैसों का अहंकार … 
क्या हुआ अब कुछ काम नही आ रहा ..

ज्यादा पैसे का रोब दिखा रहे थे .. लगा लो आज वह पैसा, निकाल लो उस पैसे से अपने बेटे को जेल से निकाल सकते हो तो।

इसलिए कहते हैं पैसे का कभी घमंड नहीं करना चाहिए, हर जगह पैसा काम नहीं आता!

#BoycottBollywood https://t.co/JgVdx374ff",[]
20,dinu_disho,"a down to earth person, yaaro ke yaar....     ❤S̄ūs̄h̄ān̄t̄ S̄īn̄ḡh̄ R̄āj̄p̄ūt̄❤",Bas yaad kijeye dil se... ,908,499,28921,64,"Kisi Mahaan Insaan Ne Kaha Tha 

“The Industry Will Crash One Day”

#BoycottBollywood 

P.S- I Love You NCB!!!",['BoycottBollywood']
21,apoorv_thakur_,"Student activist 
|| भारत माता की जय || Law Student Lucknow📍||
followed by @PiyushGoyalOffc || Views are personal",Prayagraj ,179,622,1535,0,"मेरे इतने भी करीब मत आओ बर्बाद हो जाओगे 
Meanwhile srk- मैं बर्बाद होना चाहता हूँ 
#AnanyaPandey #AryanKhanArrested #BoycottBollywood #AryaanKhan #Bollywood @KapilMishra_IND https://t.co/bAZg0YgV5b","['AnanyaPandey', 'AryanKhanArrested', 'BoycottBollywood', 'AryaanKhan', 'Bollywood']"
22,sumi53983155,,,1017,929,65291,81,"Bollywood &amp; few politicians have all come together against Sameer Wankhede, a honest officer who's working towards DRUG FREE INDIA.

So called stars &amp; politicians are rather darkness &amp; the biggest hypocrites of the highest order.

NCB Proved Satyamev Jayate
#BoycottBollywood",[]
23,swatimehak,महादेव 🙏😍🚩,,1017,12806,194104,231,"धर्मस्य दुर्लभो ज्ञाता सम्यक् वक्ता ततोऽपि च
श्रोता ततोऽपि श्रद्धावान् कर्ता कोऽपि ततः सुधीः🙏
धर्म को जाननेवाला दुर्लभ होता है,उसे श्रेष्ठ तरीके से बतानेवाला उससे भी दुर्लभ,श्रद्धा से सुननेवाला उससे दुर्लभ,और धर्म का आचरण करनेवाला सुबुद्धिमान सबसे दुर्लभ है।
#BoycottBollywood 👎 https://t.co/25lujGE1ID",[]
24,kumud768,"Mom of 2 kids.M phil in Botany,worked as a scientist @unihamburg.hereonly for beloved SSR.I wanna know the truth#justiceforsushantsinghrajput","बैंगलुरु, भारत",1216,974,18402,20,"@AdhyayanSsuman @iamsrk Sorry -Entire Nation Stands with NCB ⬇️⬇️

#NationWithNCB 

NCB Proved Satyamev Jayate 

We Stand With #SameerWankhede sir Our Singham 🔥🙌🏻 &amp; Team NCB 

Also - #BoycottBollywood 🚫",['NationWithNCB']
25,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,404,"Exactly a year ago, Nawab Malik threatened Arnab, made personal attacks and he got successful in suppressing Arnab's voice in Sushant case.

Today again this man is repeating the same thing with Sameer Wankhede sir. But this time we will not let him succeed.

#BoycottBollywood",[]
26,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,181,"Two Highlights of #AnanyaPanday's Career :

1) Struggle
2) NCB Raid

#BoycottBollywood","['AnanyaPanday', 'BoycottBollywood']"
27,kumud768,"Mom of 2 kids.M phil in Botany,worked as a scientist @unihamburg.hereonly for beloved SSR.I wanna know the truth#justiceforsushantsinghrajput","बैंगलुरु, भारत",1216,974,18402,6,"@AdhyayanSsuman @iamsrk Who told you ? Entire Nation? 

But #NationWithNCB it is 

NCB Proved Satyamev Jayate 

Shame on you for supporting the wrong doers !! Oh between you came out in support for SSR &amp; now what ? 

Earned your name &amp; fame ? 
#BoycottBollywood",['NationWithNCB']
28,deepak_bansal11,जननी जन्मभूमिश्च स्वरगादपि गरीयसी,,277,739,107644,37,"फिल्म : 3 Dev Undercover Bhagwan
प्रोड्यूसर : अयूब खान
म्यूजिक : साजिद-वाज़िद
लेखक : ग़ालिब असद

तो फ़िल्म का नाम 3 मोहोम्मद ,अंडर कवर अल्लाह क्यों नहीं ?

इन हर🥭खोरों को हिंदु देवी-देवताओं को target करने की लत लग गई है, इन्हें भी इनकी औकात दिखाओ
#BoycottBollywood
@FROM_KALIYUG https://t.co/iJk7EMY6Zz",[]
29,iam_animishra,"SSR BOT. If you stand for SSR, you are my friend.

#Sarcasm: Natural defence against stupidity.

#Justice4SSR
#Justice4Disha
#Justice4Jiah","घंटाघर se right, phir left",131,98,4568,0,"He was 24 years old.. RIP..

23 saal ke bacche ke liye saare politicians and entire Bollywood khada ho gaya hai..

Stop the VIP culture.
#BoycottBollywood https://t.co/mnSWQJR3Hh",['BoycottBollywood']
30,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,415,"I am again requesting Central Govt to provide Z+ Security to #SameerWakhende sir. Nawab Malik is repeatedly threatening him.

PROTECT SAMEER WANKHEDE
@HMOIndia
#BoycottBollywood https://t.co/sgEy4eo9pd",['SameerWakhende']
31,RatnaDixit6,"Sr. Graphics Co-ordinator, North America",,181,169,12999,617,"BIG BREAKING !!

Sameer Wankhede Sir will soon take Strict Legal Action against Nawab Malik.

Nawab Malik has messed with the wrong guy!

#BoycottBollywood",[]
32,super_chanda,"हर हर महादेव
100% follow back",Jaipur Rajasthan india,899,1087,501,2,"#FridayMotivation 
#FridayThoughts 
#BoycottBollywood 
हमारे समाज को बिगाड़ के रख दिया है इन घटिया लोगो ने इनका बहिष्कार करो।
@AdityadasSatlok @SUBODH_DAS_ 
@dassurjeet5 
@ArjunSi99555538 @PoojaDa70132449 @Avneet_Kaurrr 
@VHPDigital https://t.co/AtZsF2Mtd7","['FridayMotivation', 'FridayThoughts', 'BoycottBollywood']"
33,RatnaDixit6,"Sr. Graphics Co-ordinator, North America",,181,169,12999,37,"NCB Proved Satyamev Jayate
#BoycottBollywood https://t.co/CZut3ofIuu",['BoycottBollywood']
34,sneha279_sneha,Programmer|Comp.Sci Student|Coder|Deep thinker|Problem Solver| I love to read mythology books & I love to code ! & I am New on Twitter !,,56,74,316,0,@ReallySwara Didi Ko movie me kam karna hai ! Isliye bhokana pad raha hai didi Ko ! #BoycottBollywood,['BoycottBollywood']
35,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,173,"I Support - #ShameonYouCeatTyres

It has become a habit of Bollywood now to share their 2 rupees gyan on our festivals and play with our emotions.

#BoycottBollywood https://t.co/yDJqMO48Wh",['ShameonYouCeatTyres']
36,sankalp18468159,"#clearupsc dream to become an ias officer. that's all.... 
🇮🇳🇮🇳", kannauj,742,272,3229,2,"Congratulations India
Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand 4 #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
37,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,111,"Why is ""Uncle KJ"" trending?

#BoycottBollywood https://t.co/dFFWYYy7TT",['BoycottBollywood']
38,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,109,"NCB has released a Press Note after false allegations by Nawab Malik against Sameer Wankhede sir.

#BoycottBollywood https://t.co/qMJOgYAOWQ",['BoycottBollywood']
39,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,29,"Mawab Nalik's pichwada right now 👇

#BoycottBollywood https://t.co/kA1VF4sQv1",['BoycottBollywood']
40,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,617,"BIG BREAKING !!

Sameer Wankhede Sir will soon take Strict Legal Action against Nawab Malik.

Nawab Malik has messed with the wrong guy!

#BoycottBollywood",[]
41,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,218,"BREAKING: NCB has summoned #AnanyaPanday once again at 11 AM tomorrow

Sameer Wankhede sir is in no mood to spare anyone this time! 🔱 🙏

#BoycottBollywood",['AnanyaPanday']
42,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,112,"UPDATE: #AnanyaPanday has left NCB office along with Chunky Pandey after being interrogated by Sameer Wankhede sir for 2 hours in Aryan Khan drugs case

2 More Bollywood Actors Under NCB Scanner! 👀

#BoycottBollywood",['AnanyaPanday']
43,Nationalist280,Indian,India,791,496,77485,331,"CBI Speak Out 4 Disha SSR
#BoycottBollywood 
When Bullywood tries to copy @itsSSR 

Legend💫                       Chapri💩 https://t.co/XAYVCyGovb",['BoycottBollywood']
44,manik_saagar,,,392,524,20269,617,"BIG BREAKING !!

Sameer Wankhede Sir will soon take Strict Legal Action against Nawab Malik.

Nawab Malik has messed with the wrong guy!

#BoycottBollywood",[]
45,kodaidream,Tamilian Hindu.Born and grew up mostly in north india.A former Coast Guard officer of executive cadre and a merchant mariner.  Terra firma now.Proud Namo bhakt,Chennai,149,95,19836,0,"@GemsOfBollywood @iamsrk Now all khans will do what he perceives others will do.
#BoycottBollywood 
#BoycottBollywoodDruggies","['BoycottBollywood', 'BoycottBollywoodDruggies']"
46,sumi53983155,,,1017,929,65291,117,"In a population of 1,397,642,731, she means to say don't just nab the kids but also entire nexus of their parents &amp; bullywood, how sweet 🥲
#NationWithNCB #BoycottBollywood https://t.co/J651TImgWo",[]
47,MarieLo10910105,"“Those who have long enjoyed such privileges as we enjoy, forget in time, that men have died, to win them.”  Franklin D. Roosevelt","England, United Kingdom",527,22,3848,0,#BoycottBollywood #AbolishSlavery #DefundIndianMilitary,"['BoycottBollywood', 'AbolishSlavery', 'DefundIndianMilitary']"
48,DDeo777,🙏JAY SHREE RAAM🙏,,70,14,736,0,"#JAYSHREERAAM
#BoycottBollywood 
#JusticeForSushantSinghRajput","['JAYSHREERAAM', 'BoycottBollywood', 'JusticeForSushantSinghRajput']"
49,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,20,"I am again requesting Central Govt to provide Z+ Security to #SameerWakhende sir. 
Nawab Malik is repeatedly threatening him..👈

PROTECT SAMEER WANKHEDE
@HMOIndia @AmitShah
@PMOIndia @narendramodi 

NCB Proved Satyamev Jayate
#BoycottBollywood Hell√

Guys support sameer sir🙏 https://t.co/4YJemivRHT",['SameerWakhende']
50,crazyman7790,"God have mercy on my Soul
When my Heart turns cold",India,1208,333,19424,0,"@the_sailu @monapuski2411 @bhupendrachaube #BoycottBollywood , Bollywood ki a**i ki",['BoycottBollywood']
51,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,26,"Proud of u #SameerWakhende sir

Wow newz👇

Sameer Wankhede Sir will soon take Strict Legal Action against Nawab Malik.

Nawab Malik has messed with the wrong guy!

#BoycottBollywood 
Stop Lies About SSR Height 

(CP) https://t.co/FVz9rYmSa3",['SameerWakhende']
52,sarikas87189690,justice for SSR,"Redmond, WA",256,120,8994,111,"Thali Mein Ched Wali Aunty Outside NCB Ofc!!! 

#BoycottBollywood https://t.co/LSGeaRVX7P",['BoycottBollywood']
53,Azeez24213748,,,38,60,13686,65,"REQUESTING ALL to please raise your voices against Injustice and threatened  to a very Honest Officer #Sameerwankhede Sir @narcoticsbureau
@dg_ncb 
#WewantDrugfreeNation
#NCB #JusticeForSushantSinghRajput With NCB For A Better India #BoycottBollywood",['Sameerwankhede']
54,VishalC22251275,True friend,"Mumbai, India",1874,768,34356,37,"NCB Proved Satyamev Jayate
#BoycottBollywood https://t.co/CZut3ofIuu",['BoycottBollywood']
55,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,2,"Nawab Malik, Yes NCB prove Satyamev Jayate but. What about our #Bangladesh #Minority bros ans sis in Bangladesh
Come and stand 4 #Hindus_Attacked_In_Bangladesh 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli","['Bangladesh', 'Minority']"
56,AdnanMa47574375,"🦋 Do or do not, there is no try 🦋","New York, USA 🇺🇸",1141,740,85068,123,"As per bollywood logic, if you wear simple white kurti while going to face questions from the NCB, YOU ARE INNOCENT🤡😭

#BoycottBollywood 
#AnanyaPanday",[]
57,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,2,"#FATF ban in Bangladesh also fo saving Minorities there #FATF_AreYouWatching in #Bangladesh 
 stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli#AnanyaPanday","['FATF', 'FATF_AreYouWatching', 'Bangladesh']"
58,Priyank74685077,Here for Sushant,UP India,49,210,15884,73,"@_sabanaqvi Same pinch... Just the pain is much more and surely they who never felt it so long, will feel it now. #BoycottBollywood https://t.co/kOxBpgS7IF",[]
59,gontssssss,Indian descent living in The Netherlands. Here to voice my opinion and get justice for Sushant Singh Rajput! primary twitter handle is restricted is @Gontsss,,133,244,26501,415,"I am again requesting Central Govt to provide Z+ Security to #SameerWakhende sir. Nawab Malik is repeatedly threatening him.

PROTECT SAMEER WANKHEDE
@HMOIndia
#BoycottBollywood https://t.co/sgEy4eo9pd",['SameerWakhende']
60,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
#ShameonYouCeatTyres","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
61,AdnanMa47574375,"🦋 Do or do not, there is no try 🦋","New York, USA 🇺🇸",1141,740,85068,2,@esther_joseph13 @SSRImmortal Offffo nani thali mein ab kitni chhhed? #BoycottBollywood,['BoycottBollywood']
62,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
Congratulation India","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
63,barkhajain1,,,173,17,1374,65,"REQUESTING ALL to please raise your voices against Injustice and threatened  to a very Honest Officer #Sameerwankhede Sir @narcoticsbureau
@dg_ncb 
#WewantDrugfreeNation
#NCB #JusticeForSushantSinghRajput With NCB For A Better India #BoycottBollywood",['Sameerwankhede']
64,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,2,"Congratulations India
Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand 4 #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
65,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
Mannat","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
66,KARUNASHANKEROJ,"स्वयं अब जाग कर हमको, जगाना देश है अपना।  Law Graduate, Social Media Activist. Ex-Banker,
RTs are not endorsement.",India,1380,797,90252,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
Bollywood","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh']"
67,OoAh_Cantona,MUFC fan | Free-Spirit | #saynotoracism,UK,1501,309,22812,3,"Yes NCB proved Satyamev Jayate but. What about our #Bangladesh #Minority bros ans sis in Bangladesh
Come and stand 4 #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli","['Bangladesh', 'Minority']"
68,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,81,"Bollywood &amp; few politicians have all come together against Sameer Wankhede, a honest officer who's working towards DRUG FREE INDIA.

So called stars &amp; politicians are rather darkness &amp; the biggest hypocrites of the highest order.

NCB Proved Satyamev Jayate
#BoycottBollywood",[]
69,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,57,"@AneeshaBedi SAMEER WANKHEDE. That's it. That's the Tweet. 💪🔥

#BoycottBollywood

Stop Lies About SSR Height",['BoycottBollywood']
70,sumi53983155,,,1017,929,65291,21,"Bhagwan ki latti me Aawaz nhi hoti, But lagti bahut Zor ki hai....

#AryanKhanDrugCase 
#BoycottBollywood","['AryanKhanDrugCase', 'BoycottBollywood']"
71,mahesh_pan_SSR,"We Stand With NCB 
Justice For SSR","Fremont, CA",56,38,5797,283,"“Satyamev Jayate”, says Sameer Wankhede sir after court rejects #AryanKhan's bail in drugs case.

#BoycottBollywood | आर्यन खान","['AryanKhan', 'BoycottBollywood']"
72,AdnanMa47574375,"🦋 Do or do not, there is no try 🦋","New York, USA 🇺🇸",1141,740,85068,1,"#IStandWithSRK but not with #AnanyaPandey 🤣🤣🤣🤣

No VICTIM CARD FOR #AnanyaPandey 

#BoycottBollywood #NationWithNCB 

#SameerWankhede we stand with you !! https://t.co/3Tn0f4Jb5M","['IStandWithSRK', 'AnanyaPandey', 'AnanyaPandey', 'BoycottBollywood', 'NationWithNCB']"
73,Sumant71538208,"General Insurance Advisor | Affiliate marketer | Trader | 

#All type vehical Insurance available

#views are personal🙂

Please DM for more details.",India,357,90,13077,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
Bollywood","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh', 'Hindus_Attacked_In_Bangladesh', 'HindusUnderAttack', 'SaveHindus', 'BoycottBollywood', 'BoycottShahRukhKhan', 'SameerWakhende', 'BollywoodDruggies']"
74,Sumant71538208,"General Insurance Advisor | Affiliate marketer | Trader | 

#All type vehical Insurance available

#views are personal🙂

Please DM for more details.",India,357,90,13077,1,"Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand for #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli
Mannat","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh', 'Hindus_Attacked_In_Bangladesh', 'HindusUnderAttack', 'SaveHindus', 'BoycottBollywood', 'BoycottShahRukhKhan', 'SameerWakhende', 'BollywoodDruggies']"
75,shruti63361391,SSRian,USA| Himachal Pradesh,44,42,3414,415,"I am again requesting Central Govt to provide Z+ Security to #SameerWakhende sir. Nawab Malik is repeatedly threatening him.

PROTECT SAMEER WANKHEDE
@HMOIndia
#BoycottBollywood https://t.co/sgEy4eo9pd",['SameerWakhende']
76,iam_animishra,"SSR BOT. If you stand for SSR, you are my friend.

#Sarcasm: Natural defence against stupidity.

#Justice4SSR
#Justice4Disha
#Justice4Jiah","घंटाघर se right, phir left",131,98,4568,0,"@Simi_Garewal BTW, did you even think of asking that why every second Bollywood actor(refused to call them stars) is involved with drugs and being called by NCB?

कुछ तो किया होगा..

#BoycottBollywood",['BoycottBollywood']
77,Sumant71538208,"General Insurance Advisor | Affiliate marketer | Trader | 

#All type vehical Insurance available

#views are personal🙂

Please DM for more details.",India,357,90,13077,2,"Congratulations India
Raise voice for saving Minorities in #Bangladesh #FATF_AreYouWatching in #Bangladesh 
stand 4 #Hindus_Attacked_In_Bangladesh 
#HindusUnderAttack 
#SaveHindus 
#BoycottBollywood 
#BoycottShahRukhKhan #SameerWakhende #BollywoodDruggies https://t.co/NiPZhvxTli","['Bangladesh', 'FATF_AreYouWatching', 'Bangladesh', 'Hindus_Attacked_In_Bangladesh', 'HindusUnderAttack', 'SaveHindus', 'BoycottBollywood', 'BoycottShahRukhKhan', 'SameerWakhende', 'BollywoodDruggies']"
