,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,mirza_gazanfar,"Journalist ,social &  human rights activists", India,369,105,7056,2,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/5pnleV5AbA",['GutterPatra']
1,AnilGupta_INC,"Secular ,Liberal
Away from all religious bigotry",,3417,694,10230,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
2,bains_nikki,"No DM please. I’m here to support farmers of India. I love, respect and appreciate humanity and always try to stand up for what’s right 👊 proud Canadian 🇨🇦",Heaven on Earth  ,1441,1495,42574,22,Gajab bezti hai yr 😂 his new name is #GutterPatra #DirtyPoliticsAgainstFarmers https://t.co/la01ljkSwE,"['GutterPatra', 'DirtyPoliticsAgainstFarmers']"
3,dhilloha,,,538,561,35035,22,Gajab bezti hai yr 😂 his new name is #GutterPatra #DirtyPoliticsAgainstFarmers https://t.co/la01ljkSwE,"['GutterPatra', 'DirtyPoliticsAgainstFarmers']"
4,shaktividhi,Lawyer... Women & child rights activist #shaktividhi ...political analyst..Stephanian....fierce!,Delhi,852,651,9424,0,"The frustration of #GutterPatra is out in the open !

#GutterWalaRapistPatra https://t.co/jTf6rOhbIr","['GutterPatra', 'GutterWalaRapistPatra']"
5,KhanDM,Muslim Indian Humanist,,703,471,58741,0,#GutterPatra https://t.co/w1c8pmqzm7,['GutterPatra']
6,vimalkkr1990,"Self belief s the most wanted trait in a human being and education leads us towards relying on ourselves,making us believe that we r ready to take on the world.","INDIA,new delhi,dwarka sec 8",128,4230,19537,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
7,wasimkarajagi,,,473,250,19556,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
8,Sunilbhogal241,"BE(Mechanical Engr), MBA- Marketing","Bhogal , New  Delhi ",924,135,5494,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
9,MOHDIMR60942026,La ilaha illallah,"Uttar Pradesh, India",476,201,1375,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
10,LaxmanD08658143,,,180,1283,209492,2068,"Sambit Patra is #GutterPatra!

RT if you agree",['GutterPatra']
11,amoluikey1,जयस (सीधी),sidhi ,726,490,831,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
12,akhaliq955,👉 it's better to look ahead and prepare than to look back and despair.😊,india,123,89,5525,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
13,CARAJESHKOL,"Chartered Accountant by profession, Real Deshbhakt, Logic-lover even during Chowkidar's regime",Bharat,590,61,3418,0,"Calling @sambitswaraj #GutterPatra is wrong, #Gutter v #PIL file kar denge #SupremeCourt me. And @anjanaomkashyap ko sunta hi nai when someone calling a #Gutter,  #GutterPatra .","['GutterPatra', 'Gutter', 'PIL', 'SupremeCourt', 'Gutter', 'GutterPatra']"
14,UmeshbhaiAnarya,"हमे मानवतावादी राष्ट्र चाहिये
SWAYAMSAINIKDAL_INDIA","Ankleshwar, India",1247,779,4435,3,#GutterPatra https://t.co/earv0jxsD3,['GutterPatra']
15,AtmaRam38340752,SENIOR TEACHER ENGLISH,"Gharsana, India",793,646,37087,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
16,aakarshdhawan,Freebird 🕊🐾👾 👨‍💻,,134,61,6872,0,"@ShyamMeeraSingh Please guys… don’t trend #GutterPatra.
It hurts #GutterPatra feelings.
No one will call him #GutterPatra from now on.
Also, don’t retweet #GutterPatra.","['GutterPatra', 'GutterPatra', 'GutterPatra', 'GutterPatra']"
17,SunilKu66574893,Nafrat ka vikalp prem hai aur himsha ka ahimsha.,"Bengaluru, India",239,95,9560,0,"@tonyJatinder9 #GutterPatra ko aaj samajh mein agaya hoga.
Boye pedd babool la
To aam kaha se paye.",['GutterPatra']
18,RoflMallika,"If you don't like my tweets then don't follow 😉
पैरोडी नड्डा @RoflNadda की पैरोडी धर्म पत्नी.",Israel,181,74,6261,1,"ये गटर पात्र कोन है?
#GutterPatra",['GutterPatra']
19,Vivek_jz,Still thinking of something better to be written here !!,"Mumbai, India",100,18,1708,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
20,Sisshere,"असतो मा सद्गमय ।तमसो मा ज्योतिर्गमय।मृत्योर्माऽमृतं गमय। |Unpredictable|♐|भारद्वाज|
Arts🎓Graduate|DM🚫|Heavily guarded wid covi🛡️shield. #FarmersProtest",,534,622,68959,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
21,ashokku53338224,,,358,111,7879,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
22,AftabHashmi2008,Follow back nahi dene wale ko unfollow Kar diya jayega. 100% FB.,India,765,508,5423,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
23,skgangar,Fuckin Frustated Confused ...,Ludhiana,171,68,2308,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
24,8840praveen,"If we think we can't, may be we can't But if we think we can, certainly we can....👍👍👍",,4080,480,1733,1,"@ShyamMeeraSingh #GutterPatra बोलना सही नहीं है और न ही #GutterPatra ट्रेंड करवाना चाहिए, देश में #GutterPatra के अलावा भी बहुत सारे मुद्दे हैं, श्याम जी मेरा आपसे अनुरोध है #GutterPatra जैसे शब्दों का प्रयोग न करें वर्ना ट्विटर पर #GutterPatra ट्रेंड करने लगेगा","['GutterPatra', 'GutterPatra', 'GutterPatra']"
25,8840praveen,"If we think we can't, may be we can't But if we think we can, certainly we can....👍👍👍",,4080,480,1733,2,"@ShyamMeeraSingh नही सुना  #GutterPatra हमने ।।  आवाज़ clear नही थी ।।।ज़ोर से साफ साफ शब्दों में सुनेगे तब ही मानेगे ।।    सब मिल कर बोलो , जोर से बोलो तब  मांनेगे",['GutterPatra']
26,ravi_ghazipuri,"रवि शंकर चौधरी का आधिकारिक ट्वीटर हैंडल, सारे ट्वीट्स और विचार मेरे नीजी हैं। पार्टी से जुड़ते रहिए, अखिलेश जी के हाथो को मजबूत बनाए
समाजवादी पार्टी मऊनाथ भंजन",India,1967,1695,32923,0,"@sambitswaraj 
#GutterPatra https://t.co/rwDHwsnc55",['GutterPatra']
27,MMishra06,be positive,,139,1091,35826,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
28,LongiMirch1,,,15,14,59,0,@RahulGandhi #GutterPatra 😂😂🙏,['GutterPatra']
29,AnwarGohil,कुछ भी नहीं 🤣,,308,272,16966,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
30,IconicImr4n,Allahamdulillah for everything ❣️,,369,68,3038,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
31,ravdeepsingh96,"Deep_rav😋
Chandigarh 
ਸੁਨ ਵੇ ਸਜਨਾ ਜੇ ਤੇਰੇ ਨਾਲ ਯਾਰੀ ਨਾ ਹੁੰਦੀ☺☺ਸੁਹੰ ਰਬ ਦੀ ਸਾਨੂੰ ਜਿੰਦਗੀ ਏਨੀ ਪਿਆਰੀ ਨਾ ਹੁੰਦੀ॥😘😘","Chandigarh, India ",113,105,11739,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
32,MH_Matloob,Accountant,Moradabad,124,351,124125,3,Dont believe me? Search for yourself 😜😜 #GutterPatra https://t.co/OmytJZwmNM,['GutterPatra']
33,imrankhanaim,,,20,6,1934,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
34,pravasi_majdoor,smiles,,45,91,5935,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
35,somveerbhardwaj,true indian 100% follow back,India,4998,2870,60983,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
36,abhishek88pal,,"New Delhi, India",78,15,360,191,"Sambit Patra and BJP are doing what they do the best : sharing edited clips of Congress to run false propaganda.😂🤣

#GutterPatra https://t.co/GF346b2GMt",[]
37,abhishek88pal,,"New Delhi, India",78,15,360,686,"India will not allow #GutterPatra to spread the disease of his communal lies anymore.

The truth will defeat all your lies @sambitswaraj !! https://t.co/vnwJkTuC0m",['GutterPatra']
38,DeepSaaz,Singer,Chandigarh,446,1162,33121,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
39,GulshadAhamad3,,,142,56,2367,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
40,ushmansir,,,227,41,541,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
41,sonuyadav330,,Noida,286,16,223,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
42,abhishekkarsh,,raipur,407,103,1162,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
43,Shahbaz43268190,I love my attitude,,23,0,58,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
44,madshumanbeing1,"True Warrior... SECULAR, not interested in VIRTUAL FRIENDSHIP.. one thing never changes HUMAN MENTALITY ❤️Shashi Tharoor ❤️@JAI HIND 🙏","Powai, Mumbai",4615,6887,103943,0,@sambitswaraj @narendramodi 100 crore mai kitne zero hotey hai yeh pahle batao #GutterPatra,['GutterPatra']
45,BhanwarDhyawana,जय किसान,,81,87,20669,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
46,Nitinwangaskar3,03,"Latur, India",124,59,2818,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
47,Chandan69270941,"Btech completed 
Searching for jobs",,101,11,1012,0,#GutterPatra,['GutterPatra']
48,JayJChauhan,,Ahmedabad,634,456,35035,191,"Take care of your mental health Gobar Patra

#GutterPatra https://t.co/mPhPAJVgqA",['GutterPatra']
49,Dehati_Ladka,,,506,266,101952,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
50,patania_gaurav,,,44,19,662,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
51,ZuberAh94645415,,,145,14,708,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
52,BhanwarDhyawana,जय किसान,,81,87,20669,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
53,Arvind80780537,,,54,32,756,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
54,OoltahChashma,"I see the world upside down.

Full of पागल'PUN'.

Parody account, good content, will be followed.

RT isn't endorsement.",,1397,1562,15495,29,"यार 3 बार #Gutterpatra नहीं बोलना चाहिए था
2 बार ही बोलना चाहिए था!!😭😭 https://t.co/3CfIqupc8S",['Gutterpatra']
55,promila_joshi,congress Desh ki Shaan,,5002,2582,69592,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
56,sherawat_92,"Civil Engineer🎓
Rajasthan🤟🏻
Don't die before your death.
बोल के लब आजाद है तेरे।","Rajasthan, India",167,123,858,0,"@ShyamMeeraSingh Shi naam se bula dia ilsiye😂😂😂
#GutterPatra",['GutterPatra']
57,msayeed74,,,219,71,10198,0,"@ShyamMeeraSingh @AurangAzadehind गलत बात है,,,,,,😏 ऐसा कैसे कोई किसी को कुछ भी बोल सकता है।
#GutterPatra",['GutterPatra']
58,AurangAzadehind,"humanity, social activist, helping hand
sarfaroshi ki tamanna ab hmare Dil me hai. dekhna hai zor Kitna baju e qatil me hai.",Ram Rajya,2633,1059,127153,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
59,MrCool40168041,,,647,177,14457,0,"@ShyamMeeraSingh मैं इसकी कड़ी निन्दा करता हूं।
@sambitswaraj को गटर पात्रा नही बोलना चाहिए 🤣🤣🤣
#GutterPatra",['GutterPatra']
60,impunia,"किसान। जाट, धरतीपुत्र  RTs are not endorsement.","नरवाना, हरियाणा",545,1538,35646,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
61,LBhuraj,ਸਾਡਾ ਜਿਲ੍ਹਾ ਸੰਗਰੂਰ ਆਟੋਮੈਟਿਕ ਗਰੂਰ,,26,2,46,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
62,DevidRex,,,40,20,2558,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
63,AbbasKisan,"Proud Indian : A Learner, a thinker *Retweets Are Not Endorsed  (जय हिंद) #किसान #मानवतावादी 






























.",India,2713,1329,38580,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
64,Mohamma99630808,hindu muslim sikh isai aapas me hain bhai bhai...keep loving keep smiling. ☺️😍,"New Delhi, India",179,64,5778,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
65,Sarafji1,Ho Gaya complete,,3273,1658,15030,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
66,DingiyaMithlesh,Right,,235,45,3019,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
67,Praveen88577872,vetenarian,"Jaipur, India",205,259,10614,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
68,Swaranj01499401,,kolkata,39,32,4998,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
69,Asim77bb132,,,318,282,65371,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
70,sposhy0007,,,152,1368,228079,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
71,Ramkesh05930130,"My religion is the Constitution
आदिवासी किसान पुत्र
जय जोहार, जय भीम, jai संविधान
youtube channel link
https://t.co/wb1sdnI6EE","Jaipur, India",3733,2666,48250,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
72,SnehaPradeep2,,Gandhinagar,238,261,4315,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
73,TanmayRoyINC,man with truth. Secular and strong follower of Gandhian ideology.,,1964,2382,30414,36,"#GutterPatra : yeh surmai machli ke andar ande hai kya??

🙄machliwali : aae baba, machli wajan karke dete hai sonography karke nahin😜

#NaaliKaKeeda 
#GutterWalaRapistPatra 

***Tu kheench meri photo piyaaa****🤪🤣🤣🤣 https://t.co/7qcFEhBRo9",['GutterPatra']
74,kumarjatin6428,dont be serious,modinagar,123,20,339,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
75,Dharmen06930262,Live life simply,"Aligarh, India",53,377,18274,29,"यार 3 बार #Gutterpatra नहीं बोलना चाहिए था
2 बार ही बोलना चाहिए था!!😭😭 https://t.co/3CfIqupc8S",['Gutterpatra']
76,narendraaggrwal,मेरा देश ही मेरे लिये सब कुछ... विश्वास सत्यमेव जयते में,,674,2041,126509,151,"हर बाधा को पार कर श्रीमती @priyankagandhi जी Uttar Pradesh के आगरा पहुंची।
पुरुषवादी सोच के #GutterPatra जेसे संघी लोग जो मानते ह के लड़कियाँ कुछ नहीं कर सकती ये विडियो देखें वो भूल जाते ह झाँसी की रानी,इन्दिरा जी हमारे देश की बेटियाँ ही थी 
@NayakRagini 
#लड़की_हूँ_लड़_सकती_हूँ https://t.co/uteKPXkvXx",['GutterPatra']
77,D_champ_is_here,"समर्थन और विरोध केवल, विचारों का होना चाहिये किसी व्यक्ति का नहीं","Noida, India",1602,491,35663,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
78,RKsrivastav55,"CHARACTER IS THE MOST PRECIOUS GIFT OF EDUCATION.
 सबसे पहले एक सामान्य भारतीय। जय हिन्द ,जयभीम🙏","Jharkhand, India",252,88,2034,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
79,Adityakarnal4,personal thought,"Patna, India",155,9,280,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
80,aamirraza931,Spread Love ❤😘  india 🇮🇳🇮🇳👳,"Ranchi, India",194,118,11830,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
81,antilvirender,"B +, B real, B Indian ...Ek Bharat Sabka Bharat 🇮🇳🇮🇳🇮🇳🇮🇳",Dehradun ,199,123,4212,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
82,ziddi_zoya2,#Socialworker #समाज_सेवक #Villager_Helper #स्वछभारत #सुन्दरगांव #Education_Helper #गरीबो_की_आवाज़ #भ्रष्टाचार_विरुद्ध,India,52,82,195,0,#GutterPatra नहीं बोलना चाहिए😂😂,['GutterPatra']
83,ziddi_zoya2,#Socialworker #समाज_सेवक #Villager_Helper #स्वछभारत #सुन्दरगांव #Education_Helper #गरीबो_की_आवाज़ #भ्रष्टाचार_विरुद्ध,India,52,82,195,0,#GutterPatra किसने बोल दिया?,['GutterPatra']
84,Er_Shahvez_Bjo,"working for BKU #Engineer, working at #Groundzero #भारतीय_किसान_यूनियन
@indiansfarmers_
@RakeshTikaitBKU","Uttar Pradesh, India",1841,1004,1453,0,@ShayarImran @iamsrk #GutterPatra कौन है?,['GutterPatra']
85,Er_Shahvez_Bjo,"working for BKU #Engineer, working at #Groundzero #भारतीय_किसान_यूनियन
@indiansfarmers_
@RakeshTikaitBKU","Uttar Pradesh, India",1841,1004,1453,0,@ShayarImran @iamsrk #GutterPatra,['GutterPatra']
86,anya_student,my id @kumarsunil_1 is suspended,,246,61,5059,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
87,lallasoniCG_INC,"जिला सचिव,असंगठित कामगार कांग्रेस(AIUWC)
बिलासपुर(छग)
कांग्रेस कार्यकर्ता
बिलासपुर
(छत्तीसगढ़)",बिलासपुर (छत्तीसगढ़),5004,1420,28090,829,"ये ग़लत है संबित पात्रता को टीवी पर गटर पात्रा नहीं बोलना चाहिए था. अब कुछ लोग #GutterPatra को ट्रेंड भी चलाएँगे, ये ग़लत है. https://t.co/Q2B4JoUR5A",['GutterPatra']
88,pmg987,"Live Truth
Spread Love",,192,110,40682,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
89,madshumanbeing1,"True Warrior... SECULAR, not interested in VIRTUAL FRIENDSHIP.. one thing never changes HUMAN MENTALITY ❤️Shashi Tharoor ❤️@JAI HIND 🙏","Powai, Mumbai",4615,6887,103943,2,@madshumanbeing1 @Malkeet42948581 #GutterPatra,['GutterPatra']
90,erkaransingh_,"ideal Dr. Bhim Rao Ambedkar
#JaiBhim",,245,52,4462,578,"संबित पात्रा कह रहे हैं कि उन्हें 3 बार #GutterPatra बोला गया है.
अंजना - मैंने सुना ही नहीं . 🤣 https://t.co/xSiOrXIAx1",['GutterPatra']
91,AyazAkhter4,"मैं बोलता हूँ तो इल्ज़ाम है बग़ावत का...
मैं चुप रहूँ तो बड़ी बेबसी सी होती है ..!",begusarai,1153,1193,9129,0,#GutterPatra   नहीं बोलना चाहिये था यह तो #gobarpatra हैं 😀😀😀,"['GutterPatra', 'gobarpatra']"
