,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,DHEERUT01,"Think and Thinker, secular  politics interest",,933,259,8802,23,"On the debate wrt the #BharathBandh to support our Kisan my friend &amp; the BJP spokesperson made a personal attack hence I replied with an attack on the Hon'ble HM Amit Shah ji who calls himself a farmer. 
#FarmersProtest_StandsStrong
#RakeshTikait
#BharatBand https://t.co/5WVid9fuwI",['BharathBandh']
1,Sayd_Aliya,"@Aliya4088
@SFI_NATIONAL",,1985,3739,19942,1,Originally @sudhirchaudhary is a puppet of #Pakistan.This man should be punished who have been playing ploys with innocent #Hindu People with his unholy #Hindutva ideology.He is a gentleman at large &amp; behaves like a wolf in a ship's clothing.#petrocrisis #RakeshTikait,['Pakistan']
2,hhaappyy71,All tweets are strictly personal views. RT's are not necessarily endorsements.,,232,115,46197,49,"Without political backing #FarmersProtest wouldn't be last so long.

At last @ZeeNews exposed what was the underneath in the carpet.

They're doing exactly what they're opposing for new #FarmLaws. 

🗣️ Say it loudly 
राकेश टिकैत ही असली डकैत है l

#TikaitExposed #RakeshTikait https://t.co/4xqeP5Shoj",['FarmersProtest']
3,Simranj54736692,love  current news,,136,372,24546,48,"I stand with @RakeshTikaitBKU 
#RakeshTikait

#TihariTuTohKhudExposedHai https://t.co/X4iuBucBUc","['RakeshTikait', 'TihariTuTohKhudExposedHai']"
4,vamshiranga,,,417,148,37206,46,Meanwhile mother of boy who participated in Dharna with #RakeshTikait https://t.co/TyKnqNjdjn,['RakeshTikait']
5,Naba_KumarRay,"ভয়ংকৰ ক'ৰনা ভাইৰাছ এতিয়াও সক্ৰিয় আছে সজাগ থাকক, সচেতন হওঁক আৰু সুস্থ থাকক। ধন্যবাদ #COVID19 #coronavirus #অসম #जयश्रीराम #वन्देमातरम","आसाम, भारत 🙏👇",197,181,715,0,"Save Muslim Women . #FreeFromHijab 
#BaBurqa
 #SaveMuslimWomen
#RakeshTikait
#ISIS
#Islamophobia_in_india
 https://t.co/EsPy81biCJ via @YouTube","['FreeFromHijab', 'BaBurqa', 'SaveMuslimWomen', 'RakeshTikait', 'ISIS', 'Islamophobia_in_india']"
6,g88473075,"मुझे सनातनी होने का गर्व है।  🔱🔱🔱💯💯💯🇮🇳🇮🇳🇮🇳

पुराना अकाउंट सस्पेंड  @piyushanand_gpt",,807,294,62,0,"There are 16 cr farmers in india, of which 85% have small and marginal land holdings i.e below 4 acrs
All of them are working in the field none of them r protesting
These  does'nt represent even 0.1% of farmers
#भारत_खुला_है
#भारत_बन्द_नहीं_बुलंद_है
#RakeshTikait 
#rakeshtikait https://t.co/vlX6YjsabA","['भारत_खुला_है', 'भारत_बन्द_नहीं_बुलंद_है', 'RakeshTikait', 'rakeshtikait']"
7,ShidharthRaj4,,,84,15,2323,264,Good job Zee News exposed #Rakeshtikait #TikaitExposed 👏 https://t.co/KR31FcRP5j,"['Rakeshtikait', 'TikaitExposed']"
8,MohanShobitha,on Twitter for timepass.Not a fanatic; do not suffer fools gladly. Sri Vaishnava. Nation above anything,,3524,3580,116606,444,"Some WA forwards are really very good.

#FarmBills2020
#FarmLaws
#FarmersProtestHijacked
#FakeFarmers
#SinghuBorder
#RakeshTikait https://t.co/zkzjVLr5lo","['FarmBills2020', 'FarmLaws', 'FarmersProtestHijacked', 'FakeFarmers', 'SinghuBorder']"
9,hhaappyy71,All tweets are strictly personal views. RT's are not necessarily endorsements.,,232,115,46197,264,Good job Zee News exposed #Rakeshtikait #TikaitExposed 👏 https://t.co/KR31FcRP5j,"['Rakeshtikait', 'TikaitExposed']"
10,s1a1_beashu,"Nationalist, Detests pseudo secularism and appeasement politics, proud Indian and proud Hindu.",,381,475,38296,444,"Some WA forwards are really very good.

#FarmBills2020
#FarmLaws
#FarmersProtestHijacked
#FakeFarmers
#SinghuBorder
#RakeshTikait https://t.co/zkzjVLr5lo","['FarmBills2020', 'FarmLaws', 'FarmersProtestHijacked', 'FakeFarmers', 'SinghuBorder']"
11,mamta777sharma,,,50,1,15,65,"Arrest  #RakeshTikait ……this is due to insanity of #RakeshTikait for his personal gain……Why Supreme Court don’t take any Suo Motu action for harassing the public, and sick people who are suffering due to this #BharathBandh . https://t.co/yFLF6AphlD","['RakeshTikait', 'RakeshTikait']"
12,LallanTop12,"मज़हब नही सिखाता, आपस में बैर रखना, हिंदी हैं हम वतन है हिंदुस्तान हमारा।",TimbakTu,250,93,11354,5,"Such an insult to the Prime Minister has never happened in history.

#RakeshTikait #TikaitExposed #ShehnaazGiIl #भारत_खुला_है  #AntiIndian https://t.co/SXROjkGZSE","['RakeshTikait', 'TikaitExposed', 'ShehnaazGiIl']"
13,HarpreetBatth20,"ਕਿਸਾਨ ਮਜਦੂਰ ਏਕਤਾ ਜਿਦਾਬਾਦ 💪💪

ਹਮੇਸ਼ਾ ਹੀ ਮਾਤਾ ਪਿਤਾ ਦਾ ਸਤਿਕਾਰ ਕਰੋ
ਮਾਤਾ ਪਿਤਾ ਦੀ ਸੇਵਾ ਹੀ🙏
ਸਬ ਤੋਂ ਵੱਡੀ ਸੇਵਾ ਹੈ  🙏",Delhi ,1079,179,4130,0,"Bhagat Singh was a charismatic Indian revolutionary, professing socialism and atheism, whose two acts of violence against the British in India, hunger-strike in jail, and execution made him a folk hero in India.
#bhagatsingh 
#HappyBirthday #RakeshTikait #KisanAndolan #Punjab https://t.co/hjTyrtZ7QG","['bhagatsingh', 'HappyBirthday', 'RakeshTikait', 'KisanAndolan', 'Punjab']"
14,g88473075,"मुझे सनातनी होने का गर्व है।  🔱🔱🔱💯💯💯🇮🇳🇮🇳🇮🇳

पुराना अकाउंट सस्पेंड  @piyushanand_gpt",,807,294,62,0,"#भारत_खुला_है
Who is more dangerous Terrorist for the country

Like -#RakeshTikait

Retweet for #Osama https://t.co/wq4p0eawcr","['भारत_खुला_है', 'RakeshTikait', 'Osama']"
15,Surende51603308,We are small farmers,"दादरी, भारत",296,102,133,84,"Retweet fast  #TihariTuTohKhudExposedHai
#RakeshTikait #StandWithTikait https://t.co/T7BVQ8oFee","['TihariTuTohKhudExposedHai', 'RakeshTikait', 'StandWithTikait']"
16,jiteshsinght,"I am like this only                                                                 Indian Hindu


Exactly & Approximately.

             #HinduLivesMatter","Hyderabad, India",743,745,248551,444,"Some WA forwards are really very good.

#FarmBills2020
#FarmLaws
#FarmersProtestHijacked
#FakeFarmers
#SinghuBorder
#RakeshTikait https://t.co/zkzjVLr5lo","['FarmBills2020', 'FarmLaws', 'FarmersProtestHijacked', 'FakeFarmers', 'SinghuBorder']"
17,SunnySi11958819,,,1007,359,2316,58,"The Bhakts were burning since the morning. Now our team is again trending with many hashtags in support of our hero #RakeshTikait 👏

#TihariTuTohKhudExposedHai
#StandWithTikait",[]
18,Dharmu0786,Sure On Yourself,"Rajasthan, India",178,49,2828,40,"In Chennai ambatur around 300/ workers and farmers arrested 
#आज_भारत_बंद_है #BharathBandh #RakeshTikait https://t.co/RiePp9ZrAP","['आज_भारत_बंद_है', 'BharathBandh', 'RakeshTikait']"
19,Dharmu0786,Sure On Yourself,"Rajasthan, India",178,49,2828,58,"#भारत_खुला_है,#RakeshTikait 
Congress party right now 😂 https://t.co/ODQPuGcXLc","['भारत_खुला_है', 'RakeshTikait']"
20,Vishal78637198,cricket | politics,,87,19,1287,5,"Such an insult to the Prime Minister has never happened in history.

#RakeshTikait #TikaitExposed #ShehnaazGiIl #भारत_खुला_है  #AntiIndian https://t.co/SXROjkGZSE","['RakeshTikait', 'TikaitExposed', 'ShehnaazGiIl']"
21,Vishal78637198,cricket | politics,,87,19,1287,26,"#RahulGandhi to all opposition after the failure of #BharatBandh &amp; trending #नाक_कटा_आया #RakeshTikait 
be like that👇😂😂🤪
#sunainaa r u feeling same?😂 
#farmerswithmodi 
#भारत_खुला_है 
#भारत_बन्द_नहीं_बुलंद_है https://t.co/ZAK1sW2vu6","['RahulGandhi', 'BharatBandh', 'नाक_कटा_आया', 'RakeshTikait']"
22,loosebool,Indian with emotional Heart !#AAPtards & Pakistanis .. Stay Away !! #IndiaFirst 🙏🏽. RT's are Not Endorsement . My Tweets R Under My #FOE.Jai Hind😀,#अंधेरनगरी ,9207,42614,133548,444,"Some WA forwards are really very good.

#FarmBills2020
#FarmLaws
#FarmersProtestHijacked
#FakeFarmers
#SinghuBorder
#RakeshTikait https://t.co/zkzjVLr5lo","['FarmBills2020', 'FarmLaws', 'FarmersProtestHijacked', 'FakeFarmers', 'SinghuBorder']"
23,AyubSadique,,,32,10,205,0,"Sudhir Chaudhary is a true nationalist, he is with Indian Prime Minister #TihariTuTohKhudExposedHai https://t.co/fJRdvSDvBo

#StandWithTikait
#TihariTuTohKhudExposedHai
Sudhir with Pakistan
#RakeshTikait 
#sudhirchaudhary 
#SudhirWithPakistan https://t.co/3lzLPA7ubX","['TihariTuTohKhudExposedHai', 'StandWithTikait', 'TihariTuTohKhudExposedHai', 'RakeshTikait', 'sudhirchaudhary', 'SudhirWithPakistan']"
24,insannav,"Blogger, Passion for Sports(Cricket-Volleyball-Basketball), 
Part-time writer
Being Human, Proud Indian",Tohana,25,33,1453,53,"The oppression is not as bad as your silence.
 If your conscience still does not wake up then curse on you..!!
 #RakeshTikait ️
 #StandWithTikait #FarmerTikaitVsModiDakait #FarmersProtest @OfficialBKU https://t.co/oojldLuPJC",[]
25,PankajJ16662999,"YouTuber
❤🖤💙","Mumbai, India",17,1,92,0,"https://t.co/k2OwMmag2m can u know this 
#BBNaija #SquidGame #パクジョンウ魅力やっば #BBNaijia6 #HAPPYHENDERYDAY #HAPPYHENDERYDAY #아_박정우생일_가보자고 #RakeshTikait #BBNaijaShineYaEye #SquidGame #RakeshTikait #وذ_نكهه 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/00DUVqHrNR","['BBNaija', 'SquidGame', 'パクジョンウ魅力やっば', 'BBNaijia6', 'HAPPYHENDERYDAY', 'HAPPYHENDERYDAY', '아_박정우생일_가보자고', 'RakeshTikait', 'BBNaijaShineYaEye', 'SquidGame', 'RakeshTikait', 'وذ_نكهه']"
26,Simranj54736692,love  current news,,136,372,24546,40,"In Chennai ambatur around 300/ workers and farmers arrested 
#आज_भारत_बंद_है #BharathBandh #RakeshTikait https://t.co/RiePp9ZrAP","['आज_भारत_बंद_है', 'BharathBandh', 'RakeshTikait']"
27,vixenyoni,"Elite All Natural Plant Based Feminine Products🌱
✊🏿Black Owned Business✊🏿
We Ship Worldwide 🌎✈️
🎉New Line Coming Soon🎉",,0,0,6,0,"A good Yoni steam has all these benefits and more. Don't knock it until you've tried it.
💙
💛
💙
#yoni #vixenyoni #BlackOwnedBusiness #SquidGame #24hoursinpolicecustody #HAPPYHENDERYDAY #ShehnaazGiIl #GenshinImpact #RakeshTikait #aisล่ม #BBNaija6 #talkxreal #Uyajola99 #animetwt https://t.co/KihDRWVf8U","['yoni', 'vixenyoni', 'BlackOwnedBusiness', 'SquidGame', '24hoursinpolicecustody', 'HAPPYHENDERYDAY', 'ShehnaazGiIl', 'GenshinImpact', 'RakeshTikait', 'aisล่ม', 'BBNaija6', 'talkxreal', 'Uyajola99', 'animetwt']"
28,mehra68,,,0,56,13282,0,"""Zee News""
#TihariTuTohKhudExposedHai
#आज_भारत_बंद_है 
#BharatBandh 
#RakeshTikait 
Godi media and their anchors should at least respect democracy and its values and morals if they are not ready to respect the common and poor public ??","['TihariTuTohKhudExposedHai', 'आज_भारत_बंद_है', 'BharatBandh', 'RakeshTikait']"
29,navin32125330,,,387,18,3700,264,Good job Zee News exposed #Rakeshtikait #TikaitExposed 👏 https://t.co/KR31FcRP5j,"['Rakeshtikait', 'TikaitExposed']"
30,Raviyad30970897,,,0,0,1,66,"#भारत_खुला_है
Who is more dangerous Terrorist

Like -#RakeshTikait

Retweet for #Osama https://t.co/d9Xo2pzIpr","['भारत_खुला_है', 'RakeshTikait', 'Osama']"
31,navin32125330,,,387,18,3700,58,"#भारत_खुला_है,#RakeshTikait 
Congress party right now 😂 https://t.co/ODQPuGcXLc","['भारत_खुला_है', 'RakeshTikait']"
32,VipinCh80072335,I am a Farmer..... बुरे का अंत बुरा☺️,"Meerut, India",4254,1484,5300,27,"Retweet fast  #TihariTuTohKhudExposedHai
#RakeshTikait #StandWithTikait https://t.co/8lMoUKhumA","['TihariTuTohKhudExposedHai', 'RakeshTikait', 'StandWithTikait']"
33,NareshNagora1,student,"Sikar, India",1,34,4697,48,"I stand with @RakeshTikaitBKU 
#RakeshTikait

#TihariTuTohKhudExposedHai https://t.co/X4iuBucBUc","['RakeshTikait', 'TihariTuTohKhudExposedHai']"
34,ajayverma4141,,,171,18,798,38,"#RakeshTikait
Hopefully Rakesh tikait will be successful in his agenda of to have bright political career 🙄 https://t.co/ogWSKY18y5",['RakeshTikait']
35,CRDMSMukesh,"Director at CRDMS Skill Edutech PVT LTD,
Blogger.","Fatehabad, India",182,56,84,0,"Arrest  #RakeshTikait ……this is due to insanity of #RakeshTikait for his personal gain……Why Supreme Court don’t take any Suo Motu action for harassing the public, and sick people who are suffering due to this #BharathBandh . https://t.co/ql52EftPDW","['RakeshTikait', 'RakeshTikait', 'BharathBandh']"
36,Pradeep31599049,,,23,0,26,17,"#RakeshTikait
#भारत_खुला_है 
#RakeshTikait
The only truth about these Morons is all are anti-national and paid piddis of China 👊 https://t.co/PtdzcNb6aB","['RakeshTikait', 'भारत_खुला_है', 'RakeshTikait']"
37,BeInclusive882,Stand for truth.,,526,82,12452,206,"#BREAKING 
People to #RakeshTikait after failure of #BharathBandh or #BharatBand be like that #नाक_कटा_आया  Tikait👇
#farmerswithmodi 
#भारत_खुला_है 
#भारत_बन्द_नहीं_बुलंद_है https://t.co/GjYiU0y3cY","['BREAKING', 'RakeshTikait', 'BharathBandh', 'BharatBand', 'नाक_कटा_आया']"
38,Rajeev40400932,,India,26,6,1740,264,Good job Zee News exposed #Rakeshtikait #TikaitExposed 👏 https://t.co/KR31FcRP5j,"['Rakeshtikait', 'TikaitExposed']"
39,Shailes933418,Farmer,,52,90,15713,53,"The oppression is not as bad as your silence.
 If your conscience still does not wake up then curse on you..!!
 #RakeshTikait ️
 #StandWithTikait #FarmerTikaitVsModiDakait #FarmersProtest @OfficialBKU https://t.co/oojldLuPJC",[]
